Treatment;Field;Phytate;TP;TOP;TN;TOC;pH;KAL;CaAL;MgAL;DOC;DN;PAL
Control;Low;87,34243102;469,9731234;294,666946;1,5036;16,856;6,545;11,49928855;200,0722481;27,19142007;180,554658;12,63924679;12,8
Control;High;81,17191855;496,5270936;301,5520936;1,6307;18,499;6,595;11,40631026;226,8781866;28,81894517;227,348451;14,66176471;15
Control;Low;61,86242859;435,8663366;231,5986599;1,3717;15,45;6,838;11,69368286;236,4757444;36,69003466;172,8082983;14,6749522;20,9
Control;High;85,67466145;541,6520651;349,0991386;1,7088;19,8;6,58;9,733978157;228,0261276;27,44635166;246,7217515;16,51731161;15,4
P;Low;102,3020913;513,6909323;263,7892124;1,4626;16,424;6,616;12,21975154;207,7823123;26,24734342;195,4871295;15,49740933;22,8
P;High;100,938654;581,7359413;319,5559667;1,6452;19,039;6,726;12,29462926;232,9847723;27,39312005;221,3058277;14,4482091;29,7
P;Low;65,65003463;503,9655172;257,068113;1,5192;17,06;6,761;11,97459934;238,7374741;38,02567989;179,3103914;13,18493151;25,3
P;High;108,3280954;608,6410256;354,972314;1,7348;20,103;6,64;9,723165747;230,768855;25,85412095;256,0427968;18,32997988;28,6
P6;Low;88,78723764;501,6919192;265,8565077;1,416;15,889;6,749;12,07658446;220,0280741;26,41765835;197,5222851;15,94539939;23,4
P6;High;95,97810898;617,2116603;309,3645266;1,6732;19,745;6,86;12,19042734;248,9791575;27,7640809;234,1877046;17,90419162;42,2
P6;Low;74,81652612;481,9035533;249,8589436;1,4605;16,633;6,971;10,19398325;252,0563071;33,50593535;175,7985602;13,00788955;23,1
P6;High;107,093028;611,4893617;321,1367169;1,7732;20,782;6,695;9,868774453;260,969077;30,94470939;315,7110039;33,37598425;35
