Year;Field;Treatment;Phytate;TP;TOP;14C;TN;TOC;pH;PAL;PHCl;KAL;KHCl;CaAL;MgAL
1968;Low;Control;82,5235478;511,7146433;284,0318676;-131,6;1,8737;21,688;5,9;3;26;15;260;165;nd
1968;Low;P;100,5316405;585,2882206;306,8208839;-108,9;1,9339;22,863;5,9;2,6;34;15;260;165;nd
1968;Low;P6;;;;;;;5,9;3,4;34;15;275;170;nd
1977;High;Control;117,2578808;575,4522613;336,930958;-31,5;1,8169;20,721;6;1,3;33;11,5;270;146;nd
1977;High;P;129,0002674;650,5597964;343,6054191;-21,8;1,8147;20,836;6;2,9;38;11,5;280;156;nd
1977;High;P6;118,4990114;642,2531646;355,8255077;6,6;1,8496;21,239;6;2,5;39;11,5;270;151;nd
1980;Low;Control;81,68488871;455,7340025;266,09605;-8,2;1,5364;17,09;6,3;0,9;28;13;300;151;33
1980;Low;P;107,4365733;558,339719;290,4913083;1,7;1,5577;17,462;6,2;2,5;37;13;325;168;33
1980;Low;P6;101,7853559;525,0623441;269,1387773;5,8;1,6061;18,216;6,4;2,4;36;13;305;188;33
1980;High;Control;113,7975717;588,2252142;354,9421953;-16,2;1,8545;20,511;5,7;1,2;35;11;270;172;35
1980;High;P;108,5471394;681,6372796;376,9269521;-18,9;1,9571;21,68;5,6;3;40;11;230;201;26,3
1980;High;P6;92,21007913;650,974106;340,7151665;-7,5;1,7676;19,816;5,9;2,9;42;10;255;187;37
1989;High;Control;78,8031488;571,9706242;342,123296;-5,9;1,693;19,763;6,3;1,8;36;10,5;260;186;29
1989;High;P;81,19101936;624,1051314;340,9654528;-6,9;1,7491;20,557;6,4;2,6;38;11,5;280;212;27,3
1989;High;P6;80,19266174;608,4143223;326,0570022;-14,8;1,6945;19,845;6,5;2,4;40;11,5;275;224;32,3
2001;High;Control;95,04379684;557,689441;316,0438714;-44,3;1,6996;20,71;6,7;1,8;38;11;295;250;30,5
2001;High;P;108,178917;611,0539216;323,8559141;-58,7;1,6194;19,526;6,6;2,6;43;9,5;275;256;29,2
2001;High;P6;101,2730331;620,7808564;325,9524251;-6,8;1,59;18,962;6,6;2,6;44;10,5;295;272;34,4
2003;Low;Control;68,717867;527,8651685;242,1110494;-2,5;1,4594;16,653;6,8;1,8;33;13,3;358;244;36,2
2003;Low;P;74,42125286;541,1779449;253,7639321;0;1,5142;17,154;6,7;2,9;41;13,7;375;258;34,8
2003;Low;P6;80,54018703;538,4283904;276,8212475;7,9;1,5088;17,01;7;2,6;39;11,8;356;267;35,1
2013;High;Control;94,24918353;506,525;289,721005;-13,8;1,6649;18,736;6,62;1,642;40,9048;9,61;308,8075;220,73;28,28
2013;High;P;115,103099;614,1132075;317,6891973;-24,4;1,669;19,477;6,65;3,222;50,4298;9,01;287,0575;229,83;25,58
2013;High;P6;117,119634;573,7484117;290,2338731;-16,5;1,6186;18,809;6,79;2,902;48,4048;9,77;307,2575;238,57;28,74
2015;Low;Control;83,81900084;452,5384615;250,0544667;-36,1;1,4278;16,153;6,73;1,132509591;37;7,1;307;205;31,4
2015;Low;P;67,78238083;503,6822194;250,6667555;-18,8;1,4252;16,014;6,8;1,9;45;7,3;306;218;32,4
2015;Low;P6;85,20609405;530,4292929;287,0382038;-30,7;1,456;16,604;6,76;1,885591088;43;7,5;302;212;29,3
2019;High;Control;98,07792286;532,4717691;308,0437249;-31;1,7024;19,455;6,5;1,3;40,1;12,6;245,8;221;29,6
2019;High;P;96,00825491;583,8131313;320,3402249;-36,7;1,7115;19,909;6,5;2,6;45,6;12,2;236,1;231;28,6
2019;High;P6;92,10353156;564,0656566;282,1334106;-37,4;1,6993;19,667;6,5;2,5;45,9;13,3;253,4;240;30,5
2021;Low;Control;87,34243102;469,9731234;294,666946;;1,5036;16,856;6,545;1,28;;11,49928855;;200,0722481;27,19142007
2021;High;Control;81,17191855;496,5270936;301,5520936;;1,6307;18,499;6,595;1,5;;11,40631026;;226,8781866;28,81894517
2021;Low;Control;61,86242859;435,8663366;231,5986599;;1,3717;15,45;6,838;2,09;;11,69368286;;236,4757444;36,69003466
2021;High;Control;85,67466145;541,6520651;349,0991386;;1,7088;19,8;6,58;1,54;;9,733978157;;228,0261276;27,44635166
2021;Low;P;102,3020913;513,6909323;263,7892124;;1,4626;16,424;6,616;2,28;;12,21975154;;207,7823123;26,24734342
2021;High;P;100,938654;581,7359413;319,5559667;;1,6452;19,039;6,726;2,97;;12,29462926;;232,9847723;27,39312005
2021;Low;P;65,65003463;503,9655172;257,068113;;1,5192;17,06;6,761;2,53;;11,97459934;;238,7374741;38,02567989
2021;High;P;108,3280954;608,6410256;354,972314;;1,7348;20,103;6,64;2,86;;9,723165747;;230,768855;25,85412095
2021;Low;P6;88,78723764;501,6919192;265,8565077;;1,416;15,889;6,749;2,34;;12,07658446;;220,0280741;26,41765835
2021;High;P6;95,97810898;617,2116603;309,3645266;;1,6732;19,745;6,86;4,22;;12,19042734;;248,9791575;27,7640809
2021;Low;P6;74,81652612;481,9035533;249,8589436;;1,4605;16,633;6,971;2,31;;10,19398325;;252,0563071;33,50593535
2021;High;P6;107,093028;611,4893617;321,1367169;;1,7732;20,782;6,695;3,5;;9,868774453;;260,969077;30,94470939
