Year,High Ctrl,High P,High P6,Low Ctrl,Low P ,Low P6
1937,1680,2110,3300,,,
1938,2870,2870,3050,,,
1939,2090,2630,2700,,,
1940,,,,,,
1941,1430,1520,1620,,,
1942,3630,4280,3950,2060,2620,3720
1943,,,,2570,2420,2600
1944,3830,4040,4230,4360,4480,4360
1945,1710,1580,1620,2310,2550,2380
1946,3170,3610,3450,3230,3330,3320
1947,,,,2070,2250,2420
1948,1860,1930,2040,,,
1949,2840,2770,2890,2930,3020,4300
1950,2160,2240,2270,1770,2040,1920
1951,1560,1690,1660,1320,1370,1530
1952,2760,3110,3110,2170,2340,2720
1953,3030,3220,2990,3310,3370,3780
1954,2800,2930,3540,2930,2910,3120
1955,2440,1750,1510,,,
1956,2100,2550,2580,2070,4130,5220
1957,,,,1380,2020,2040
1958,1900,2970,2370,2520,2740,2710
1959,,,,1750,1810,1990
1960,,,,1490,1640,1470
1961,,,,4590,4840,4770
1962,,,,,,
1963,,,,,,
1964,3440,3840,3840,4840,6380,6390
1965,,,,3400,3770,3510
1966,1800,2240,2440,2600,3240,3400
1967,2620,3200,3010,2810,3530,3780
1968,2020,2300,2170,2950,4020,4470
1969,2490,3270,2850,490,610,840
1970,3570,4230,4240,2330,2230,1980
1971,3480,3600,3390,2100,3060,3430
1972,4240,4780,4840,4020,5470,5040
1973,2890,3450,3510,2090,3400,3610
1974,4960,6020,6160,3223,5538,6011
1975,2560,1800,1540,2064,2526,2815
1976,3460,4970,5120,3236,4685,4784
1977,2123,3022,2845,3637,4539,4628
1978,1666,2663,3263,2986,3836,3684
1979,3947,5458,5086,3092,3696,4048
1980,797,1612,1796,,,
1981,5657,5550,5026,1208,2317,2347
1982,3760,4590,4570,5253,5727,5549
1983,5730,6407,6425,2991,3500,3351
1984,1831,2258,2396,5676,6322,6241
1985,4096,4819,4988,810,1878,1589
1986,2677,4084,4357,2563,4897,4186
1987,4264,5615,5480,783,1751,1764
1988,2843,3438,3195,2957,3428,4175
1989,994,2089,2057,5002,5537,5601
1990,6649,7935,8000,5540,6563,6785
1991,2921,4178,3833,111,263,277
1992,1928,2606,2616,4422,4353,5237
1993,4757,5704,6066,6313,7180,6948
1994,1630,2231,2069,1986,2121,2031
1995,6827,7531,7448,2883,4041,3395
1996,5484,5946,6079,5446,5685,5218
1997,4683,5351,5169,5234,5987,5593
1998,6516,6706,6775,3579,4513,4891
1999,3781,4318,4105,3224,4015,4346
2000,5937,6596,6304,5976,6913,7003
2001,,,,3426,4664,4774
2002,2495,3574,3594,,,
2003,6217,7243,7147,1617,2259,2236
2004,3463,4693,5147,979,2677,3639
2005,3660,4939,5861,6766,8347,8657
2006,4375,4781,4876,3828,4418,4716
2007,6734,7145,7264,5810,6398,6768
2008,3618,4402,4790,3823,4415,4661
2009,6101,6196,6245,4606,5352,5333
2010,1520,3348,3324,4607,5601,5590
2011,5709,6541,6488,3405,4078,4240
2012,4452,5237,5445,2874,4168,4455
2013,4940,6780,6410,4373,5282,5689
2014,2430,4160,4290,1814,3126,3421
2015,9830,10340,10040,8146,9329,9139
2016,2293,3573,3873,3546,4726,5371
2017,8141,9081,8975,6967,7616,7809
2018,3857,4396,4247,3468,3984,4094
2019,5908,6246,6309,6918,8308,8403
2020,4342,4815,4745,4228,4940,5288
2021,6057,6513,6736,5672,7581,7658
